t iter dt dta diff m1 m2 ekin c1x c1y c1z c2x c2y c2z vc1x vc1y vc1z vc2x vc2y vc2z v1x v1y v1z v2x v2y v2z meshposx meshvelx 
8.37999999999991 1016 0.02 0.02 0.0004779743683656812 0.02713673644976765 0.004113263550232339 9.143344254489965e-06 0.4970936616653225 0.4989904241232025 0.015625 0.5191741998680214 0.5066605492597611 0.015625 -0.002969170022548706 -0.002121020280157482 0 0.01958872386844668 0.01399316320899735 0 0.01979261803152873 0.01225217094309031 0 0.01926778997918657 0.01380443456446044 0 0 0 
8.39999999999991 1018 0.02 0.02 0.0004247353146426936 0.02713673644993358 0.004113263550066427 9.17283283152455e-06 0.4970342864814032 0.4989482932048295 0.015625 0.5195659201411642 0.5069385026696566 0.015625 -0.002968759195964843 -0.002106545918648117 0 0.0195860136571413 0.01389767049477242 -8.673617379884035e-17 0.01978778667632203 0.01223936965867532 0 0.01927466423864597 0.01373355965932484 0 0 0 
8.419999999999909 1020 0.02 0.02 0.0003395861457211148 0.02713673644849304 0.004113263551506961 9.203590540630587e-06 0.4969748595563563 0.4989063960558529 0.015625 0.5199579817609199 0.5072149138122903 0.015625 -0.002971346252345075 -0.002094857448831089 0 0.01960308098778452 0.0138205571316885 8.673617379884035e-17 0.01978426706887586 0.01222727255020301 0 0.01928598556270284 0.01367612306309758 0 0 0 
8.439999999999909 1022 0.02 0.02 0.0002254586252076883 0.02713673644807483 0.004113263551925176 9.234844415384333e-06 0.4969154040862011 0.4988647723952816 0.015625 0.5203502317089292 0.5074895206516501 0.015625 -0.002972773507761706 -0.002081183028565525 -8.673617379884035e-17 0.01961249740046744 0.01373034196798795 0 0.01978224809178721 0.01221510383841584 0 0.01930715343795824 0.01362630621396021 0 0 0 
8.459999999999908 1023 0.02 0.02 0.0008638687405749466 0.0271367364474032 0.004113263552596807 9.267561477748835e-06 0.496855801999417 0.4988233448198275 0.015625 0.5207434489400531 0.5077628338436149 0.015625 -0.002980104339206369 -0.002071378772702803 8.673617379884035e-17 0.01966086155619218 0.01366565959823873 0 0.01978224046122312 0.01220375053021014 0 0.01934382547307238 0.01358773058033341 0 0 0 
8.479999999999908 1024 0.02 0.02 0.000792387094644688 0.02713673644179063 0.004113263558209372 9.294884899748957e-06 0.4967961221485284 0.498782120910456 0.015625 0.521137179180641 0.5080348033631245 0.015625 -0.002983992544430825 -0.002061195468575083 0 0.0196865120293932 0.01359847597547925 0 0.01978427411675918 0.0121949642215033 0 0.0193804928691781 0.01356562512506818 0 0 0 
8.499999999999908 1025 0.02 0.02 0.0008149669202151581 0.0271367364323024 0.004113263567697597 9.319343449674655e-06 0.4967363556513658 0.4987410262243924 0.015625 0.5215314810344718 0.5083059203383293 0.015625 -0.002988324858130276 -0.002054734303183481 0 0.01971509269154126 0.01355584876024385 0 0.01978673019267344 0.01218706404977135 0 0.01941840679321072 0.01355489248856457 0 0 0 
8.519999999999907 1026 0.02 0.02 0.0008325232053105529 0.0271367364196057 0.004113263580394296 9.342566280432973e-06 0.4966765864759671 0.4987000918522189 0.015625 0.5219258005358338 0.5085759796537667 0.015625 -0.002988458769931368 -0.002046718608675335 0 0.01971597506810197 0.0135029657718666 0 0.01979056817396275 0.01217933332412501 0 0.01946431287016772 0.01354787025485839 0 0 0 
8.539999999999907 1027 0.02 0.02 0.000916587930956791 0.0271367364091541 0.004113263590845918 9.364920718137606e-06 0.4966167316184324 0.4986592559393628 0.015625 0.5223206853254774 0.5088453893999446 0.015625 -0.002992742876736787 -0.002041795642804267 0 0.01974423948217785 0.01347048730889755 0 0.01979544945417557 0.01217247293695541 0 0.0195152315299447 0.01354626974831738 0 0 0 
8.559999999999906 1029 0.02 0.02 0.0002392805982937821 0.02713673639109892 0.004113263608901071 9.387205394486331e-06 0.4965568470380357 0.4986185442073819 0.015625 0.5227157661572829 0.5091139798575314 0.015625 -0.00299422901983426 -0.00203558659904457 0 0.01975404159027527 0.01342952287933796 0 0.01980174812853974 0.01216692796910045 0 0.01957340763799466 0.01355204521230002 0 0 0 
8.579999999999906 1031 0.02 0.02 0.0002837936811735997 0.02713673639063307 0.004113263609366933 9.415220802724897e-06 0.4964968095843343 0.4985778925142628 0.015625 0.5231118556611893 0.5093821742598045 0.015625 -0.003001872685068352 -0.002032584655956016 0 0.01980447519532302 0.01340972011365515 0 0.01981025000562845 0.01216227205716293 0 0.01966066962765067 0.01356483527068889 0 0 0 
8.599999999999905 1033 0.02 0.02 0.0003111231886762267 0.02713673639034394 0.004113263609656059 9.445380434147465e-06 0.49643664682657 0.4985372944000422 0.015625 0.523508771843864 0.5096500151824835 0.015625 -0.0030081378882163 -0.002029905711026236 0 0.0198458091337339 0.01339204613395317 0 0.01982067956485786 0.0121590139191664 0 0.01976085111753954 0.01358191240038159 0 0 0 
8.619999999999905 1035 0.02 0.02 0.0003248899054472507 0.02713673638997621 0.004113263610023792 9.475847538512675e-06 0.4963768768978384 0.4984966895863781 0.015625 0.5239030963860909 0.5099179003036296 0.015625 -0.002988496436581722 -0.002030240683206785 0 0.0197162271113438 0.01339425605730304 0 0.01983274279675154 0.01215620884591409 0 0.01986730302502891 0.01360112822083413 0 0 0 
8.639999999999905 1037 0.02 0.02 0.0003285699719753177 0.02713673638943101 0.004113263610568994 9.506652225159637e-06 0.4963169597512845 0.4984561191796056 0.015625 0.5242983921779876 0.5101855584290987 0.015625 -0.002995857327692253 -0.00202852033862333 -8.673617379884035e-17 0.01976478959483385 0.01338290627345695 0 0.01984615641510495 0.012154150053765 0 0.01997842241241402 0.01362332804215708 0 0 0 
8.659999999999904 1039 0.02 0.02 0.0003229431018870858 0.02713673638903918 0.004113263610960809 9.538047098386214e-06 0.4962565655542457 0.4984155051970117 0.015625 0.5246968352510606 0.5104535040409086 0.015625 -0.003019709851939667 -0.002030699129698665 0 0.01992215365365091 0.01339728059049361 0 0.01985980154346789 0.01215393587644812 0 0.02008787603373084 0.01365172903112131 0 0 0 
8.679999999999904 1041 0.02 0.02 0.0003186612362868759 0.02713673638874804 0.004113263611251959 9.570050800984491e-06 0.4961957415321763 0.498374897038656 0.015625 0.5250981140410245 0.5107214112282834 0.015625 -0.003041201103473612 -0.002030407917785748 8.673617379884035e-17 0.02006393949819385 0.0133953593687397 0 0.01987502677565639 0.01215542813013192 0 0.02019974356091906 0.01368281952042242 0 0 0 
8.699999999999903 1043 0.02 0.02 0.0003940226508627652 0.02713673638819765 0.004113263611802343 9.60113517087808e-06 0.4961344107908396 0.4983342414151401 0.015625 0.5255027358453415 0.5109896315602093 0.015625 -0.003066537066831465 -0.002032781175792531 -8.673617379884035e-17 0.02023109021584979 0.01341101659629307 0 0.0198916613741372 0.01215693943111394 0 0.02031379557106771 0.01371155370425631 0 0 0 
8.719999999999903 1045 0.02 0.02 0.0003994689422521657 0.02713673638879854 0.00411326361120145 9.628586549478502e-06 0.4960726557228298 0.4982936297793469 0.015625 0.5259101570994374 0.5112575616922435 0.015625 -0.003087753400493609 -0.002030581789660979 0 0.02037106270479927 0.01339650660170943 0 0.01990859347359957 0.01215748015984082 0 0.02041784161434669 0.01372869496853848 0 0 0 
8.739999999999903 1047 0.02 0.02 0.0003702976077322373 0.02713673638846212 0.004113263611537884 9.655713492792361e-06 0.4960103436450984 0.4982530240968427 0.015625 0.5263212531479423 0.511525452545273 0.015625 -0.003115603886569285 -0.002030284125209558 0 0.02055480242524332 0.01339454265147921 0 0.01992612053214857 0.01215740912996269 0 0.02052594305165937 0.01374160046005414 0 0 0 
8.759999999999902 1049 0.02 0.02 0.0003254750285833858 0.02713673638809355 0.004113263611906451 9.682478685765917e-06 0.4959475977392361 0.49821237674227 0.015625 0.526735211322353 0.5117936183243462 0.015625 -0.003137295293112463 -0.002032367728635465 8.673617379884035e-17 0.02069790872053501 0.01340828895365909 0 0.01994419113245677 0.01215845108267721 0 0.02063347820831086 0.01375704385709427 0 0 0 
8.779999999999902 1051 0.02 0.02 0.0003971949842331895 0.02713673638736997 0.004113263612630028 9.707942297682727e-06 0.4958843635528004 0.498171359345625 0.015625 0.5271523908632972 0.5120642254079286 0.015625 -0.003161709321786166 -0.002050869832251334 0 0.02085897704721118 0.01353035417911985 0 0.01996238686561315 0.01215980395919699 0 0.02074102317801786 0.01377306791584275 0 0 0 
8.799999999999901 1053 0.02 0.02 0.0003891071351828011 0.02713673638776967 0.004113263612230334 9.728436047785582e-06 0.4958207859534171 0.4981300263897455 0.015625 0.5275718360362248 0.5123369143574156 0.015625 -0.00317887996916788 -0.00206664779397181 0 0.02097225864637897 0.01363444747434772 0 0.01997667938696306 0.01216396978598996 0 0.02082564444656441 0.01378722844532724 0 0 0 
8.819999999999901 1055 0.02 0.02 0.0003606188184041013 0.02713673638737007 0.004113263612629926 9.743664594968176e-06 0.4957568476424037 0.4980884474012247 0.015625 0.5279936609523339 0.5126112264733732 0.015625 -0.003196915550665591 -0.002078949426043142 0 0.02109124580545463 0.01371560579788156 0 0.01998871311494854 0.0121681674595194 0 0.02089529703267486 0.01379525102363084 0 0 0 
8.8399999999999 1057 0.02 0.02 0.0003329444869940867 0.02713673638720316 0.004113263612796845 9.755004422668997e-06 0.4956926577240632 0.4980467769374078 0.015625 0.5284171458177148 0.5128861420868004 0.015625 -0.003209495917025351 -0.002083523190840597 -8.673617379884035e-17 0.02117424326904538 0.01374578067135923 0 0.01999922315876605 0.01217254145293823 0 0.02095523179242923 0.01380133990494053 0 0 0 
8.8599999999999 1059 0.02 0.02 0.0003092638073557781 0.02713673638602837 0.004113263613971619 9.762420063596406e-06 0.4956281520026038 0.49800496058108 0.015625 0.5288427141460482 0.5131620202038768 0.015625 -0.003225286072972011 -0.002090817816391422 8.673617379884035e-17 0.02127841641667017 0.01379390585382056 0 0.02000904495337268 0.01217618780247932 0 0.02101331193605233 0.01380097542268198 0 0 0 
8.8799999999999 1061 0.02 0.02 0.0002823142292381696 0.02713673638504325 0.004113263614956747 9.76619341575163e-06 0.4955634148365783 0.4979631400615795 0.015625 0.5292698094019032 0.5134379257874903 0.015625 -0.003236858301275403 -0.002091025975023419 0 0.02135476279274684 0.0137952791806728 0 0.02001848377490419 0.01217917639477758 0 0.02107045493573859 0.01379596409852444 0 0 0 
8.899999999999899 1063 0.02 0.02 0.0002468619428089911 0.02713673638439706 0.004113263615602931 9.766324010410576e-06 0.4954983722294564 0.497921373860177 0.015625 0.5296989197693381 0.5137134730154725 0.015625 -0.003252130356096172 -0.002088310070127997 0 0.02145551837174908 0.01377736139911434 0 0.02002768991867625 0.01218123757680014 0 0.02112699697169911 0.01378695905453917 0 0 0 
8.919999999999899 1064 0.02 0.02 0.0009812994882575153 0.02713673638565557 0.004113263614344435 9.758589580312625e-06 0.4954331912304916 0.4978797565756944 0.015625 0.5301289431753561 0.5139880377902711 0.015625 -0.003259049948237114 -0.002080864224129897 0 0.02150117030089715 0.01372823873992957 0 0.02003330681966679 0.01218203656648429 0 0.02116144839007488 0.01377923778451798 0 0 0 
8.939999999999898 1065 0.02 0.02 0.0009716162249370601 0.02713673638864997 0.004113263611350023 9.747711075699399e-06 0.495367881975205 0.4978380864582909 0.015625 0.5305598127513927 0.5142629511307115 0.015625 -0.003265462764329152 -0.00208350587017625 0 0.02154347880183316 0.01374566702201929 0 0.0200370283326671 0.0121822210688106 0 0.02117358310816262 0.01377168384278165 0 0 0 
8.959999999999898 1066 0.02 0.02 0.000939571505688676 0.02713673638476929 0.004113263615230712 9.733637378929815e-06 0.4953025524607684 0.4977964257278702 0.015625 0.530990815925679 0.5145378025141943 0.015625 -0.003266475721830364 -0.002083036521033366 -8.673617379884035e-17 0.02155015871431187 0.01374256917414107 0 0.02003979733915426 0.01218201084690113 0 0.02117663712695031 0.01376423473504067 0 0 0 
8.979999999999897 1068 0.02 0.02 0.0002290075061023189 0.02713673638866169 0.0041132636113383 9.715779718051197e-06 0.495237147491026 0.4977547185059347 0.015625 0.5314223169742465 0.5148129606512073 0.015625 -0.003270248487122207 -0.002085361096776372 8.673617379884035e-17 0.02157505242837421 0.01375790685064771 0 0.02004161440044722 0.01218110861068442 0 0.02117193464684042 0.01375337252960618 0 0 0 
8.999999999999897 1070 0.02 0.02 0.0002288640079677515 0.02713673638906116 0.004113263610938851 9.688835611988857e-06 0.4951717700395046 0.4977130718033054 0.015625 0.5318536364446188 0.5150877195055926 0.015625 -0.003268872576070447 -0.002082335131464719 0 0.02156597351861689 0.01373794271926632 0 0.02004167146817486 0.0121781322108321 0 0.02116610313692581 0.01373192414776959 0 0 0 
9.019999999999897 1072 0.02 0.02 0.0002333938151295594 0.02713673639179176 0.004113263608208233 9.656971224162894e-06 0.4951063808094603 0.4976714317411771 0.015625 0.5322850336434748 0.5153624345602047 0.015625 -0.003269461502211635 -0.002082003106412822 -8.673617379884035e-17 0.02156985994279936 0.01373575273060368 0 0.02004105651946797 0.01217435925292149 0 0.02115253962690035 0.01370439011585317 0 0 0 
9.039999999999896 1074 0.02 0.02 0.0002512480793585652 0.02713673639270243 0.004113263607297574 9.621229674080867e-06 0.4950410915099868 0.497629881485286 0.015625 0.5327157715470191 0.5156365571219759 0.015625 -0.003264464973679049 -0.00207751279455437 8.673617379884035e-17 0.02153689517721546 0.01370612808855864 0 0.02003969285051531 0.01217006256012239 0 0.02113046481259307 0.01367274330908439 0 0 0 
9.059999999999896 1076 0.02 0.02 0.0003329033141592327 0.02713673639461758 0.00411326360538243 9.582662743498028e-06 0.4949758698188667 0.4975883667258684 0.015625 0.5331460634225457 0.5159104455048685 0.015625 -0.003261084556002714 -0.002075737970883007 0 0.02151459377632836 0.0136944191446331 0 0.02003782519555455 0.01216479838671767 0 0.02110264762675833 0.01363687389923256 0 0 0 
9.079999999999895 1078 0.02 0.02 0.0003366546210147 0.02713673639519867 0.004113263604801323 9.538622049275265e-06 0.4949108423855446 0.4975469720409686 0.015625 0.5335750736947401 0.5161835417055664 0.015625 -0.003251371666104785 -0.002069734244986021 -8.673617379884035e-17 0.02145051360972206 0.013654810034891 0 0.02003294836174982 0.01215927739341923 0 0.02105635963918624 0.01359025927930034 0 0 0 
9.099999999999895 1080 0.02 0.02 0.0002953683666386354 0.02713673639156406 0.004113263608435938 9.492742001460295e-06 0.4948459541780484 0.4975056542974099 0.015625 0.5340031654021624 0.516456130276161 0.015625 -0.00324441037481138 -0.002065887177937764 8.673617379884035e-17 0.02140458537111534 0.01362942852973226 0 0.02002770590117533 0.01215333828597029 0 0.02100572513520127 0.01353798320413511 0 0 0 
9.119999999999894 1082 0.02 0.02 0.0003038402959235883 0.02713673639171481 0.004113263608285199 9.446153126540164e-06 0.494781282834714 0.4974644608193864 0.015625 0.5344298264113253 0.5167278990377804 0.015625 -0.003233567166721629 -0.002059673901172454 0 0.02133305045814438 0.01358843808096921 0 0.02002236754686284 0.01214715102497075 0 0.02095359675544347 0.01348409241029012 0 0 0 
9.139999999999894 1084 0.02 0.02 0.0003182672335017745 0.02713673639236992 0.004113263607630091 9.396166817997486e-06 0.4947167994013373 0.4974233647507525 0.015625 0.5348552477132671 0.5169990251556965 0.015625 -0.003224171668833598 -0.002054803431697505 0 0.02127106509708931 0.01355630589580659 0 0.0200154121239992 0.01213893067219692 0 0.02088794318687547 0.01341785946995434 0 0 0 
9.159999999999894 1086 0.02 0.02 0.0003297142182520863 0.02713673639169119 0.004113263608308822 9.341396150931094e-06 0.4946526256492214 0.4973825098560179 0.015625 0.5352786259192427 0.5172685601529654 0.015625 -0.003208687605793514 -0.00204274473672994 -8.673617379884035e-17 0.02116891029877999 0.01347674986344471 0 0.02000847163253513 0.01212600915161923 0 0.02080978856193514 0.01333311240674105 0 0 0 
