cl,vf,r,x,y,z,vx,vy,vz,p,xx,xy,xz,yy,yz,zz
139,1.2324990422912956604e-06,0.0066511895842756322758,1.4984929844149339484,0.33736937473728223491,0.7957585819323680365,0.3061112512946628228,-0.21483459869167681466,-0.026700098688074325182,-0.00096079552823167331966,2.2454928640414997254,0.50554570337986093342,1.1924381263164218758,0.11382925575059087142,0.26846437975819559263,0.63324232262649560177
140,4.6569686748939527734e-06,0.01035948666680469761,1.2409486596351826382,0.23935055054335452329,2.1474369317807568969,0.1397804706486861781,-0.22582994049325624819,0.11500808663112510599,0.041268401968165197014,1.5399785978831916911,0.29702894936040041829,2.6648597723871865206,0.057315603112926397089,0.51398876233065415864,4.6115074880354214315
141,1.0517676220341255847e-06,0.0063087559785460949405,1.8775331075932524261,0.49363407273372711392,1.1915223746102534541,0.69766588964423159602,0.094408592837692692501,-0.073012606529157697555,0.027259357637682911368,3.5251421861122471668,0.92681393958808333533,2.2371230813023852413,0.24368453245325266687,0.5881754524716388266,1.4197354335236980205
142,6.430136125462791834e-06,0.011535697327963357131,1.5094419175167179681,0.53448453612325297346,1.6439549896305252208,0.03893935541250890392,0.18329495332093026505,0.0098915573830629863195,-0.016474991212230619825,2.2784452674085606816,0.80677422887302874255,2.481458524853946912,0.28569924121499729042,0.87866431373608511191,2.7026210304658127015
143,2.1481700553362199205e-06,0.0080043612905190096585,1.3019249805800019448,0.27007618940061478563,1.1470542383775041984,0.57874359680209330747,-0.49310348134900611194,-0.21063003029611640504,-0.017636583394401428998,1.6950249697319030862,0.35162072577904834869,1.4933798212473168299,0.07295638076128610483,0.30979262811088031926,1.3157487626406092485
144,6.8685450764064392343e-07,0.0054734192400777426091,1.8886473792948781369,0.52340952034685161998,0.1070393983466742388,0.35624686680249145754,0.10689455846718802501,-0.062955453058494009744,-0.033941591530207239347,3.5669983999391297047,0.98853602240426707848,0.20215964755865278857,0.27396670660219130111,0.056025252413889656267,0.011467178248903442742
145,3.650159628141002071e-06,0.00955156237274549548,1.4954454731876960505,0.15890878799591329207,1.048216627974521753,0.29720224318201066138,-0.0048199887529232184405,0.091350786926039567737,-0.080514999058962838374,2.2363793355482384229,0.23763313278906267323,1.5675497163136067336,0.025274772194678642168,0.16657285884296382794,1.0987773736122752322
146,1.0403104863391269439e-06,0.0062857647376717267623,1.3259584050276269629,0.22582720784284762705,1.9938756828928678733,0.57211481757006488191,-0.42311283592917670049,-0.34723674498497864027,0.032076387751183030317,1.7581778359431259329,0.29943778202209747619,2.6437961206159110716,0.051007990154482325817,0.45027098753356492589,3.9755497168931936969
147,1.0822609615589657946e-05,0.013721906675386122756,1.4580422890987134732,0.45737189971364222707,1.9170348522702276295,0.24170462443110185546,-0.042866730212609990835,-0.072551209488138479475,-0.016535865371625730474,2.1259343619688046978,0.66687450766713141093,2.7951339603385738641,0.20922780448658573338,0.87680674452137330466,3.6750665746462329864
148,4.0794945868539219947e-06,0.0099122576911384995685,1.4359057398531864802,0.18224290837608048133,1.5835146481895916448,0.63398273366603952184,-0.57727083467414852525,-0.14870701213765821769,0.022933554367030706267,2.0618477898303608775,0.26168729659482908856,2.2737822371901348362,0.033233287860312460404,0.28859565759120925366,2.5075500629426663579
